instance sat family size vbdpd vbbjdpd
si4-r01-m600.01 1 7 600 1050695 1076392
si4-r01-m600.04 1 7 600 336849 343388
si4-r01-m600.00 1 7 600 735086 750431
si4-r01-m600.09 1 7 600 244504 247343
si2-b09-m400.04 1 3 400 102 107
si2-b09-m400.08 1 3 400 102 103
si2-b09-m400.05 1 3 400 103 102
si2-b09-m400.01 1 3 400 103 104
si2-b09-m400.03 1 3 400 102 103
si2-b09-m400.02 1 3 400 103 103
si2-b09-m400.07 1 3 400 103 121
si2-b09-m400.09 1 3 400 102 102
si2-b09-m400.06 1 3 400 103 104
si2-b09-m400.00 1 3 400 102 102
si4-b06-m200.06 1 3 200 43 29
si4-b06-m200.03 1 3 200 28 30
si4-b06-m200.02 1 3 200 27 27
si4-b06-m200.07 1 3 200 42 27
si4-b06-m200.05 1 3 200 30 29
si4-b06-m200.08 1 3 200 27 27
si4-b06-m200.00 1 3 200 27 27
si4-b06-m200.04 1 3 200 27 28
si4-b06-m200.01 1 3 200 32 28
si4-b06-m200.09 1 3 200 31 28
si4-r005-m400.06 1 7 400 3489 3553
si4-r005-m400.03 1 7 400 1606 1610
si4-r005-m400.07 1 7 400 4056 4082
si4-r005-m400.01 1 7 400 1462 1466
si4-r005-m400.04 1 7 400 1719 1731
si4-r005-m400.00 1 7 400 1762 1770
si4-r005-m400.09 1 7 400 2122 1972
si4-r005-m400.05 1 7 400 1501 1501
si4-r005-m400.08 1 7 400 1200 1202
si4-r005-m400.02 1 7 400 4119 3904
si4-m4Dr2-m1296.07 1 6 1296 2060 2067
si4-m4Dr2-m1296.00 1 6 1296 826 827
si4-m4Dr2-m1296.05 1 6 1296 873 899
si4-m4Dr2-m1296.04 1 6 1296 450 448
si4-m4Dr2-m1296.08 1 6 1296 1054 1057
si4-m4Dr2-m1296.01 1 6 1296 1137 1148
si4-m4Dr2-m1296.06 1 6 1296 795 778
si4-m4Dr2-m1296.02 1 6 1296 1083 721
si4-m4Dr2-m1296.03 1 6 1296 611 604
si4-m4Dr2-m1296.09 1 6 1296 981 982
si6-b09-m800.03 1 3 800 1197 1194
si6-b09-m800.09 1 3 800 1196 1196
si6-b09-m800.07 1 3 800 1195 1193
si6-b09-m800.05 1 3 800 1201 1196
si6-b09-m800.04 1 3 800 1202 1195
si6-b09-m800.01 1 3 800 1221 1842
si6-b09-m800.00 1 3 800 1196 1197
si6-b09-m800.02 1 3 800 1196 1194
si6-b09-m800.06 1 3 800 1196 1298
si6-b09-m800.08 1 3 800 1200 1197
si6-b06m-m400.00 1 4 400 254 259
si6-b06m-m400.08 1 4 400 159 155
si6-b06m-m400.03 1 4 400 127 127
si6-b06m-m400.04 1 4 400 280 282
si6-b06m-m400.06 1 4 400 193 197
si6-b06m-m400.07 1 4 400 61 61
si6-b06m-m400.09 1 4 400 153 154
si6-b06m-m400.02 1 4 400 66 67
si6-b06m-m400.01 1 4 400 54 54
si6-b06m-m400.05 1 4 400 64 64
si2-m4Dr4-m1296.08 1 6 1296 300 304
si2-m4Dr4-m1296.07 1 6 1296 444 308
