instance sat family size vbbjdpd tvbbjdpd
si2-b03m-m200.03 1 4 200 41 100000000
si2-b03m-m200.00 1 4 200 41 100000000
si2-b03m-m200.08 1 4 200 41 100000000
si2-b03m-m200.06 1 4 200 41 100000000
si2-b03m-m200.02 1 4 200 41 100000000
si2-b03m-m200.09 1 4 200 41 100000000
si2-b03m-m200.04 1 4 200 41 100000000
si2-b03m-m200.01 1 4 200 41 100000000
si2-b03m-m200.07 1 4 200 41 100000000
si4-r001-m200.04 1 7 200 81 100000000
si4-r001-m200.07 1 7 200 86 100000000
si4-r001-m200.00 1 7 200 81 100000000
si4-r001-m200.01 1 7 200 81 100000000
si4-r001-m200.03 1 7 200 87 100000000
si4-r001-m200.06 1 7 200 81 100000000
si4-r001-m200.05 1 7 200 81 100000000
si4-r001-m200.08 1 7 200 87 100000000
si4-r001-m200.09 1 7 200 367 100000000
si4-r001-m200.02 1 7 200 122 100000000
si2-m4D-m256.08 1 5 256 692 100000000
si2-m4D-m256.03 1 5 256 60 100000000
si2-m4D-m256.02 1 5 256 233 100000000
si2-m4D-m256.06 1 5 256 52 100000000
si2-m4D-m256.04 1 5 256 52 100000000
si2-m4D-m256.07 1 5 256 52 100000000
si2-m4D-m256.01 1 5 256 52 100000000
si2-m4D-m256.09 1 5 256 54 100000000
si2-m4D-m256.00 1 5 256 52 100000000
si2-m4D-m256.05 1 5 256 98 100000000
si6-r01-m400.04 1 7 400 216563 100000000
si6-r01-m400.08 1 7 400 24369 100000000
si6-r01-m400.07 1 7 400 48656 100000000
si6-r01-m400.06 1 7 400 32086 100000000
si6-r01-m400.05 1 7 400 600192 100000000
si6-r01-m400.02 1 7 400 145011 100000000
si6-r01-m400.00 1 7 400 141898 100000000
si6-r01-m400.03 1 7 400 45199 100000000
si6-r01-m400.01 1 7 400 55288 100000000
si6-r01-m400.09 1 7 400 255710 100000000
si2-m4Dr4-m625.07 1 6 625 127 100000000
si2-m4Dr4-m625.02 1 6 625 126 100000000
si2-m4Dr4-m625.03 1 6 625 126 100000000
si2-m4Dr4-m625.00 1 6 625 126 100000000
si2-m4Dr4-m625.05 1 6 625 126 100000000
si2-m4Dr4-m625.06 1 6 625 141 100000000
si2-m4Dr4-m625.09 1 6 625 490 100000000
si2-m4Dr4-m625.01 1 6 625 126 100000000
si2-m4Dr4-m625.08 1 6 625 126 100000000
si2-m4Dr4-m625.04 1 6 625 140 100000000
si4-r01-m400.01 1 7 400 1919 100000000
si4-r01-m400.08 1 7 400 1384834 100000000
si4-r01-m400.02 1 7 400 5560678 100000000
si4-r01-m400.03 1 7 400 651133 100000000
si4-r01-m400.07 1 7 400 1101216 100000000
si4-r01-m400.06 1 7 400 65755 100000000
si4-r01-m400.04 1 7 400 5591160 100000000
si4-r01-m400.00 1 7 400 9426571 100000000
si4-r01-m400.05 1 7 400 240181 100000000
si4-r01-m400.09 1 7 400 1109809 100000000
si2-b09m-m400.09 1 4 400 81 100000000
si2-b09m-m400.03 1 4 400 82 100000000
si2-b09m-m400.01 1 4 400 81 100000000
si2-b09m-m400.08 1 4 400 81 100000000
si2-b09m-m400.05 1 4 400 81 100000000
si2-b09m-m400.06 1 4 400 81 100000000
si2-b09m-m400.00 1 4 400 81 100000000
si2-b09m-m400.02 1 4 400 81 100000000
si2-b09m-m400.04 1 4 400 81 100000000
si2-b09m-m400.07 1 4 400 81 100000000
si2-b09-m800.07 1 3 800 161 100000000
si2-b09-m800.04 1 3 800 161 100000000
si2-b09-m800.05 1 3 800 161 100000000
si2-b09-m800.00 1 3 800 161 100000000
si2-b09-m800.02 1 3 800 161 100000000
si2-b09-m800.01 1 3 800 161 100000000
si2-b09-m800.08 1 3 800 161 100000000
si2-b09-m800.09 1 3 800 161 100000000
si2-b09-m800.03 1 3 800 161 100000000
si2-b09-m800.06 1 3 800 161 100000000
si6-b03-m400.04 1 3 400 241 100000000
si6-b03-m400.09 1 3 400 241 100000000
si6-b03-m400.02 1 3 400 241 100000000
si6-b03-m400.06 1 3 400 241 100000000
si6-b03-m400.05 1 3 400 241 100000000
si6-b03-m400.08 1 3 400 241 100000000
si6-b03-m400.01 1 3 400 241 100000000
si6-b03-m400.07 1 3 400 241 100000000
si6-b03-m400.03 1 3 400 241 100000000
si6-b03-m400.00 1 3 400 241 100000000
si2-r005-m600.03 1 7 600 623912 100000000
